Titre : Paiements;;;;;;;;;;;;;;;;
Compte client : 78569-MELJAC-Standard-Domestique-EUR;;;;;;;;;;;;;;;;
Export réalisé le : 21/03/2024;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Raison sociale;SIREN;NIC;Code acheteur;Ma référence;Mode de paiement;Date de saisie;Montant (EUR);Montant affecté (EUR);Solde;Statut;Numéro de paiement;Date d'échéance;Motif de non affectation;Nom du donneur d'ordre;Numéro du document;Type de document
G & D CONCEPTS;449606565;41;6598447;5316;Virement;07/07/2023;6 029,64;6 029,64;0;Paiement affecté;68438927;-;;G   D CONCEPTS                     ;68438927;Rétrocession d'un crédit
SIGECO;487624603;22;7404957;8575;Virement;06/07/2023;170,62;170,62;0;Paiement affecté;68434005;-;;SIGECO                             ;202303926;Facture
HENRI;702016452;22;5339496;778;Virement;05/07/2023;2 688,55;2 688,55;0;Paiement affecté;68422058;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
MAWA;499761567;35;6946719;c15096;Virement;05/07/2023;230,98;230,98;0;Paiement affecté;68422059;-;;MAWA SAS                           ;202303538;Facture
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;04/07/2023;11 201,62;11 201,62;0;Paiement affecté;68409659;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
JEUX DE LUMIERE;489582320;29;4646611;850;Virement;04/07/2023;8 450,48;8 450,48;0;Paiement affecté;68409660;-;;S.A.R.L. JEUX DE LUMIERE           ;plusieurs documents associées;SOLDE
NOLLET ET FILS;370501207;77;4665328;1110;Virement;04/07/2023;116,41;116,41;0;Paiement affecté;68409671;-;;NOLLET ET FILS                     ;202303642;Facture
GS2E;520563602;25;4669336;4081;Virement;04/07/2023;4 756,97;4 756,97;0;Paiement affecté;68409661;-;;GS2E                               ;202303059;Facture
SODELECT;380461855;47;4672914;1415;Virement;04/07/2023;665,27;665,27;0;Paiement affecté;68409663;-;;SODELECT SARL                      ;plusieurs documents associées;SOLDE
TAT ELECTRICITE;397607011;38;4672916;1443;Virement;04/07/2023;87,06;87,06;0;Paiement affecté;68409676;-;;SARL TAT ELECTRICITE               ;plusieurs documents associées;SOLDE
DELUX;500478813;16;4777577;479;Virement;04/07/2023;326,6;326,6;0;Paiement affecté;68409667;-;;DELUX                              ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;04/07/2023;596,03;596,03;0;Paiement affecté;68409666;-;;PARIS DESIGN DISTRICT              ;202303063;Facture
OMNILUM;534132444;17;5567723;5464;Virement;04/07/2023;167,02;167,02;0;Paiement affecté;68409669;-;;SARL OMNILUM                       ;plusieurs documents associées;SOLDE
LUCE VITA;788957835;36;5764068;8976;Virement;04/07/2023;1 085,77;1 085,77;0;Paiement affecté;68409662;-;;SARL LUCE VITA                     ;202302863;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;04/07/2023;2,04;2,04;0;Paiement affecté;68409678;-;;SARL LUCE VITA                     ;202303173;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;04/07/2023;112,75;112,75;0;Paiement affecté;68409673;-;;SARL LUCE VITA                     ;202303459;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;04/07/2023;42,18;42,18;0;Paiement affecté;68409677;-;;SARL LUCE VITA                     ;202303358;Facture
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;04/07/2023;30 832,37;30 832,37;0;Paiement affecté;68409658;-;;SAS   ECLAIRAGE LED DIFFUSION      ;202303525;Facture
TSEE FRANCE;799155858;19;6211145;1449;Virement;04/07/2023;232,87;232,87;0;Paiement affecté;68409668;-;;TSEE FRANCE                        ;202303232;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;04/07/2023;606,85;606,85;0;Paiement affecté;68409665;-;;SARL LUCE VITA                     ;202303578;Facture
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;04/07/2023;94,99;94,99;0;Paiement affecté;68409675;-;;PARIS DESIGN DISTRICT              ;68409675;OD crédit Client débit Acheteur
PROLUM OUEST;493567150;21;4665276;1209;Virement;03/07/2023;135,11;135,11;0;Paiement affecté;68381911;-;;PROLUM OUEST                       ;202303164;Facture
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;03/07/2023;384,49;384,49;0;Paiement affecté;68381910;-;;ELECTRICITE PLAFONDS LUMIERE       ;plusieurs documents associées;SOLDE
PARIS DESIGN DISTRICT;811849470;26;5128713;9813;Virement;03/07/2023;94,99;94,99;0;Paiement affecté;68381912;-;;PARIS DESIGN DISTRICT              ;202303165;Facture
MEURICE S.P.A;345034904;10;5596457;789 MEURICE;Virement;03/07/2023;3 494,29;3 494,29;0;Paiement affecté;68381909;-;;MEURICE S P A                      ;plusieurs documents associées;SOLDE
IMBERT ELECTRICITE;487791980;13;6439988;811;Virement;03/07/2023;23 495,46;23 495,46;0;Paiement affecté;68381907;-;;SARL IMBERT ELECTRICITE            ;plusieurs documents associées;SOLDE
DEL ECLAIRAGE;752396598;27;7100864;16666;Virement;03/07/2023;3 863,07;3 863,07;0;Paiement affecté;68381908;-;;DEL ECLAIRAGE                      ;plusieurs documents associées;SOLDE
ELECTRICITE PLAFONDS LUMIERE;380428011;49;4718343;556;Virement;30/06/2023;362,93;362,93;0;Paiement affecté;68377703;-;;ELECTRICITE PLAFONDS LUMIERE       ;202303170;Facture
LAURIA FRERES;441386232;25;7128841;902;Virement;30/06/2023;522,08;522,08;0;Paiement affecté;68377702;-;;LAURIA FRERES                      ;plusieurs documents associées;SOLDE
DURET ELECTRICITE;412337537;44;7365867;2535;Virement;30/06/2023;1 703,70;1 703,70;0;Paiement affecté;68377701;-;;DURET ELECTRICITE                  ;plusieurs documents associées;SOLDE
ELECTROPOSE;410353023;14;4668108;598;Virement;28/06/2023;2 506,39;2 506,39;0;Paiement affecté;68361489;-;;ELECTROPOSE                        ;68361489;Rétrocession d'un crédit
CEF YESSS ELECTRIQUE;319883344;1063;4672927;1598;Eclatement de cash crédit;28/06/2023;8 488,44;8 488,44;0;Paiement affecté;68361485;-;;                                  G;plusieurs documents associées;SOLDE
CGE DISTRIBUTION;308403955;1870;4681608;288;Virement;28/06/2023;36,94;36,94;0;Paiement affecté;68361495;-;;SONEPAR FRANCE DISTRIBUTION        ;202302109;Facture
SASIH;417782190;33;5183621;8055;Eclatement de cash crédit;28/06/2023;900,64;900,64;0;Paiement affecté;68361487;-;;                                   ;202302613;Facture
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;28/06/2023;767,29;767,29;0;Paiement affecté;68361492;-;;CABANES BARTHEROTTE   FRERES       ;202303693;Facture
THERMOZYKLUS;439649856;44;6730912;8887;Eclatement de cash crédit;28/06/2023;1 130,82;1 130,82;0;Paiement affecté;68361487;-;;                                   ;202303684;Facture
ASMI;387765340;30;7109008;15261;Eclatement de cash crédit;28/06/2023;3 522,38;3 522,38;0;Paiement affecté;68361487;-;;                                   ;202303214;Facture
APOGE E;500131636;44;7112817;7435;Virement;28/06/2023;126,13;126,13;0;Paiement affecté;68361493;-;;APOGE E                            ;202303489;Facture
BALAS;562077792;82;7143469;7616;Virement;28/06/2023;898,59;898,59;0;Paiement affecté;68361490;-;;BALAS                              ;plusieurs documents associées;SOLDE
CHAPUT SA INGENIERIE;752848515;33;7397091;16788;Eclatement de cash crédit;28/06/2023;6,1;6,1;0;Paiement affecté;68361487;-;;                                   ;202303356;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;28/06/2023;8 524,01;8 524,01;0;Paiement affecté;68361485;-;;                                   ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;28/06/2023;5 559,94;5 559,94;0;Paiement affecté;68361487;-;;MELJAC                             ;plusieurs documents associées;SOLDE
HENRI;702016452;22;5339496;778;Virement;27/06/2023;3 366,47;3 366,47;0;Paiement affecté;68351048;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
STE LUME;527561039;27;5600126;10863;Virement;27/06/2023;545,57;545,57;0;Paiement affecté;68351052;-;;STE LUME                           ;202302884;Facture
STE LUME;527561039;27;5600126;10863;Virement;27/06/2023;239,54;239,54;0;Paiement affecté;68351054;-;;STE LUME                           ;202302883;Facture
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;27/06/2023;60;60;0;Paiement affecté;68351056;-;;CABANES BARTHEROTTE   FRERES       ;plusieurs documents associées;SOLDE
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;27/06/2023;1 593,72;1 593,72;0;Paiement affecté;68351050;-;;CABANES BARTHEROTTE   FRERES       ;202303548;Facture
ERP;822899787;37;6657806;10919;Virement;27/06/2023;4 082,71;4 082,71;0;Paiement affecté;68351045;-;;ERP SARL                           ;plusieurs documents associées;SOLDE
ELECTRICITE GENERALE PETRE;389393083;32;6693894;4642;Virement;27/06/2023;257,98;257,98;0;Paiement affecté;68351053;-;;SARL  ELECTRICITE GENERALE PETRE   ;202303209;Facture
INEO LOGISTIQUE;421357872;132;4646609;819;Virement;26/06/2023;569,56;569,56;0;Paiement affecté;68340454;-;;INEO TERTIAIRE IDF                 ;202302738;Facture
ELECTROPOSE;410353023;14;4668108;598;Virement;26/06/2023;774,35;774,35;0;Paiement affecté;68340453;-;;ELECTROPOSE                        ;202303870;Facture
TSEE FRANCE;799155858;19;6211145;1449;Virement;23/06/2023;1 301,68;1 301,68;0;Paiement affecté;68328871;-;;TSEE FRANCE                        ;202303610;Facture
G & D CONCEPTS;449606565;41;6598447;5316;Virement;23/06/2023;9 769,25;9 769,25;0;Paiement affecté;68328868;-;;G   D CONCEPTS                     ;68328868;Rétrocession d'un crédit
G & D CONCEPTS;449606565;41;6598447;5316;Virement;23/06/2023;7 441,86;7 441,86;0;Paiement affecté;68328870;-;;G   D CONCEPTS                     ;68328870;Rétrocession d'un crédit
LUMITHEQUE;528075625;46;7373761;5299;Virement;22/06/2023;131,26;131,26;0;Paiement affecté;68324641;-;;LUMITHEQUE                         ;202303406;Facture
ELECTROPOSE;410353023;14;4668108;598;Virement;22/06/2023;10 317,55;10 317,55;0;Paiement affecté;68324639;-;;ELECTROPOSE                        ;plusieurs documents associées;SOLDE
TIAS;434770442;29;4646614;1480;Virement;21/06/2023;1 840,66;1 840,66;0;Paiement affecté;68315161;-;;SAS TIAS                           ;202303029;Facture
TIAS;434770442;29;4646614;1480;Virement;21/06/2023;343,73;343,73;0;Paiement affecté;68315162;-;;SAS TIAS                           ;202303569;Facture
AQUITAINE ECLAIRAGE;483014411;19;4672932;3296;Virement;21/06/2023;5 266,93;5 266,93;0;Paiement affecté;68315158;-;;AQUITAINE ECLAIRAGE                ;plusieurs documents associées;SOLDE
DELUX;500478813;16;4777577;479;Virement;21/06/2023;2 184,13;2 184,13;0;Paiement affecté;68315160;-;;DELUX                              ;plusieurs documents associées;SOLDE
SC - CEF - YESSS ELECTRIQUE;407899392;1026;4786569;1593;Eclatement de cash crédit;21/06/2023;263,36;263,36;0;Paiement affecté;68315157;-;;                                  G;202302305;Facture
LUX HOME LIGHTING;833459381;12;6599801;14161;Virement;21/06/2023;2 274,41;2 274,41;0;Paiement affecté;68315159;-;;LUX HOME LIGHTING                  ;plusieurs documents associées;SOLDE
ERP;822899787;37;6657806;10919;Virement;21/06/2023;71,44;71,44;0;Paiement affecté;68315163;-;;ERP SARL                           ;202302428;Facture
BTB GENIE ELECTRIQUE & SERVICE;414894857;39;7306427;3875;Eclatement de cash crédit;21/06/2023;294,83;294,83;0;Paiement affecté;68315157;-;;                                   ;plusieurs documents associées;SOLDE
CEF YESSS ELECTRIQUE;319883344;370;7429039;17623;Eclatement de cash crédit;21/06/2023;3 258,29;3 258,29;0;Paiement affecté;68315157;-;;                                   ;202302483;Facture
BALANCE MELJAC;999018989;78569;7777777;;Chèque;21/06/2023;8 038,04;8 038,04;0;Paiement affecté;68315157;-;;                                   ;plusieurs documents associées;SOLDE
ANGE ET LUX;491308474;23;4640864;8279;Virement;19/06/2023;67,8;67,8;0;Paiement affecté;68287278;-;;ANGE ET LUX                        ;202303653;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;19/06/2023;353,45;353,45;0;Paiement affecté;68287263;-;;ROGER DUBOIS SARL                  ;202302658;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;19/06/2023;567,76;567,76;0;Paiement affecté;68287260;-;;ROGER DUBOIS SARL                  ;202302531;Facture
BUCHON VINCENT;482375839;16;5246320;1761;Virement;19/06/2023;179,28;179,28;0;Paiement affecté;68287269;-;;SARL  BUCHON VINCENT               ;202303169;Facture
BUCHON VINCENT;482375839;16;5246320;1761;Virement;19/06/2023;234,14;234,14;0;Paiement affecté;68287266;-;;SARL  BUCHON VINCENT               ;202303343;Facture
BUCHON VINCENT;482375839;16;5246320;1761;Virement;19/06/2023;110,83;110,83;0;Paiement affecté;68287272;-;;SARL  BUCHON VINCENT               ;202303344;Facture
BUCHON VINCENT;482375839;16;5246320;1761;Virement;19/06/2023;62,57;62,57;0;Paiement affecté;68287281;-;;SARL  BUCHON VINCENT               ;202303724;Facture
TSEE FRANCE;799155858;19;6211145;1449;Virement;19/06/2023;2 403,17;2 403,17;0;Paiement affecté;68287253;-;;TSEE FRANCE                        ;202302996;Facture
MAWA;499761567;35;6946719;c15096;Virement;19/06/2023;1 072,20;1 072,20;0;Paiement affecté;68287256;-;;MAWA SAS                           ;202302995;Facture
MAWA;499761567;35;6946719;c15096;Virement;19/06/2023;106,62;106,62;0;Paiement affecté;68287276;-;;MAWA MONACO                        ;68287276;Rétrocession d'un crédit
SONEPAR SUD-EST;956500367;910;7238670;17401;Eclatement de cash crédit;19/06/2023;217,03;217,03;0;Paiement affecté;68278748;-;;                                  G;plusieurs documents associées;SOLDE
REXEL FRANCE;309304616;860;4665279;1344;Virement;16/06/2023;418,86;418,86;0;Paiement affecté;68278751;-;;REXEL FRANCE                       ;plusieurs documents associées;SOLDE
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Virement;16/06/2023;8 084,15;8 084,15;0;Paiement affecté;68278748;-;;SONEPAR FRANCE DISTRIBUTION        ;plusieurs documents associées;SOLDE
BITAROFF;498974146;17;4744956;227;Virement;16/06/2023;319,1;319,1;0;Paiement affecté;68278752;-;;BITAROFF                           ;202303832;Facture
DAEM;999373996;98000;5074914;;Virement;16/06/2023;839,49;839,49;0;Paiement affecté;68278750;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
POUGET;801933276;17;6551580;C8778;Virement;16/06/2023;122,29;122,29;0;Paiement affecté;68278753;-;;EURL  POUGET                       ;202303158;Facture
EXCLOOSIVA;493113690;25;5296717;11169;Virement;15/06/2023;150,77;150,77;0;Paiement affecté;68266021;-;;EXCLOOSIVA                         ;202302651;Facture
HOTEL LE BRISTOL;572047751;19;7306388;8761;Virement;15/06/2023;1 621,14;1 621,14;0;Paiement affecté;68266020;-;;HOTEL LE BRISTOL                   ;202302565;Facture
H T E HAUTE TECHNOLOGIE ELECTRIQUE;449654441;12;4640875;8606;Virement;14/06/2023;67,78;67,78;0;Paiement affecté;68257231;-;;H T E   HAUTE TECHNOLOGIE ELECTRIQU;202302313;Facture
EIFFAGE ENERGIE SYSTEMES-IDF;420540643;269;4665329;662;Eclatement de cash crédit;14/06/2023;222,96;222,96;0;Paiement affecté;68257217;-;;                                   ;202302435;Facture
SODELECT;380461855;47;4672914;1415;Virement;14/06/2023;19 647,34;19 647,34;0;Paiement affecté;68257215;-;;SODELECT SARL                      ;68257215;Rétrocession d'un crédit
FONCIERE DU ROND POINT;398477646;51;5171877;659;Virement;14/06/2023;5 848,87;5 848,87;0;Paiement affecté;68257219;-;;FORUM PATRIMOINE                   ;202301546;Facture
HENRI;702016452;22;5339496;778;Virement;14/06/2023;204,67;204,67;0;Paiement affecté;68257227;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
ESPACE ELEC;412628323;54;5545056;1885;Eclatement de cash crédit;14/06/2023;442,76;442,76;0;Paiement affecté;68257217;-;;                                   ;plusieurs documents associées;SOLDE
ASSA ABLOY HOSPITALITY;323946863;61;6542137;10085;Virement;14/06/2023;1 852,63;1 852,63;0;Paiement affecté;68257222;-;;ASSA ABLOY GLOBAL SOLUTIONS FRANCE ;plusieurs documents associées;SOLDE
MES INTERNATIONAL;997833991;98000;6748003;;Virement;14/06/2023;137,68;137,68;0;Paiement affecté;68257229;-;;M.E.S. INTERNATIONAL               ;202302771;Facture
MES INTERNATIONAL;997833991;98000;6748003;;Virement;14/06/2023;474,64;474,64;0;Paiement affecté;68257225;-;;MONACO ELECTRICITE SYSTEME SAM     ;202302721;Facture
FRANCOIS CUGLIETTA ELECTRICITE;530453760;15;7353323;17248;Eclatement de cash crédit;14/06/2023;112,34;112,34;0;Paiement affecté;68257217;-;;                                   ;202302887;Facture
L'ELECTRICIEN BY T;890859705;18;7444665;16881;Eclatement de cash crédit;14/06/2023;10 996,13;10 996,13;0;Paiement affecté;68257217;-;;                                   ;plusieurs documents associées;SOLDE
BALANCE MELJAC;999018989;78569;7777777;;Virement;14/06/2023;11 774,19;11 774,19;0;Paiement affecté;68257217;-;;MELJAC                             ;plusieurs documents associées;SOLDE
LUMIDIS;382537504;13;4640861;502;Virement;13/06/2023;18 232,81;18 232,81;0;Paiement affecté;68246330;-;;LUMIDIS SARL                       ;plusieurs documents associées;SOLDE
ESPACE LUMIERE;309931830;33;4641961;610;Virement;13/06/2023;3 445,19;3 445,19;0;Paiement affecté;68246334;-;;ESPACE LUMIERE                     ;plusieurs documents associées;SOLDE
SONEPAR IDF - MALAKOFF;572186989;180;4665282;285;Virement;13/06/2023;21,67;21,67;0;Paiement affecté;68246340;-;;SONEPAR FRANCE DISTRIBUTION        ;202302185;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;13/06/2023;311,65;311,65;0;Paiement affecté;68246338;-;;ROGER DUBOIS SARL                  ;202302659;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;13/06/2023;7 079,32;7 079,32;0;Paiement affecté;68246332;-;;ROGER DUBOIS SARL                  ;202302734;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;13/06/2023;4 374,04;4 374,04;0;Paiement affecté;68246333;-;;ROGER DUBOIS SARL                  ;202302766;Facture
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;13/06/2023;2 460,47;2 460,47;0;Paiement affecté;68246336;-;;CABANES BARTHEROTTE   FRERES       ;68246336;Rétrocession d'un crédit
SIGECO;487624603;22;7404957;8575;Virement;13/06/2023;8 047,81;8 047,81;0;Paiement affecté;68246331;-;;SIGECO                             ;202303437;Facture
DAEM;999373996;98000;5074914;;Virement;12/06/2023;11 745,42;11 745,42;0;Paiement affecté;68234003;-;;DISTRIBUTION D APPAREILLAGE ELECTRI;plusieurs documents associées;SOLDE
TSEE FRANCE;799155858;19;6211145;1449;Virement;08/06/2023;542,88;542,88;0;Paiement affecté;68216924;-;;TSEE FRANCE                        ;plusieurs documents associées;SOLDE
DEL ECLAIRAGE;752396598;27;7100864;16666;Virement;08/06/2023;629,62;629,62;0;Paiement affecté;68216923;-;;S.A.R.L. DEL ECLAIRAGE             ;202302482;Facture
PROLUM NORD PAS DE CALAIS;448384347;51;4672951;8633;Virement;07/06/2023;1 846,76;1 846,76;0;Paiement affecté;68208904;-;;PROLUM NORD PAS DE CALAIS          ;plusieurs documents associées;SOLDE
CRUDELI;65802308;83;7424297;416;Virement;07/06/2023;2 011,15;2 011,15;0;Paiement affecté;68208903;-;;CRUDELI MONACO                     ;68208903;Rétrocession d'un crédit
VALENTE DESIGN;481328904;26;4640845;1518;Virement;06/06/2023;41 640,84;41 640,84;0;Paiement affecté;68198743;-;;VALENTE DESIGN                     ;plusieurs documents associées;SOLDE
PROLUM OUEST;493567150;21;4665276;1209;Virement;06/06/2023;32;32;0;Paiement affecté;68198748;-;;PROLUM OUEST                       ;202302356;Facture
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;06/06/2023;2 451,77;2 451,77;0;Paiement affecté;68198746;-;;PROLUM CHAMPAGNE ARDENNES          ;202302767;Facture
CABANES BARTHEROTTE & FRERES;450008578;20;5916892;3278;Virement;06/06/2023;7 916,81;7 916,81;0;Paiement affecté;68198745;-;;CABANES BARTHEROTTE   FRERES       ;plusieurs documents associées;SOLDE
PROLUM ATLANTIQUE;834606501;23;7238662;16787;Virement;06/06/2023;609,28;609,28;0;Paiement affecté;68198747;-;;PROLUM ATLANTIQUE                  ;plusieurs documents associées;SOLDE
ETS PEZANT;582073029;57;4640871;5953;Virement;05/06/2023;918,89;918,89;0;Paiement affecté;68186650;-;;ETS PEZANT                         ;202302739;Facture
SR ELECTROTECHNIQUE;488375072;37;4672931;2983;Virement;05/06/2023;145,45;145,45;0;Paiement affecté;68186653;-;;SOCIETE SR                         ;202302714;Facture
STUDIO ON;812801199;17;5097886;10437;Virement;05/06/2023;192,48;192,48;0;Paiement affecté;68186651;-;;SARL STUDIO ON                     ;202303465;Facture
G & D CONCEPTS;449606565;41;6598447;5316;Virement;05/06/2023;1 023,46;1 023,46;0;Paiement affecté;68186649;-;;G   D CONCEPTS                     ;68186649;Rétrocession d'un crédit
BALANCE MELJAC;999018989;78569;7777777;;Virement;05/06/2023;5 816,25;5 816,25;0;Paiement affecté;68186647;-;;MATIX                              ;68186647;Rétrocession d'un crédit
NOLLET ET FILS;370501207;77;4665328;1110;Virement;02/06/2023;77,84;77,84;0;Paiement affecté;68166513;-;;NOLLET ET FILS                     ;202302741;Facture
MISE EN SCENE;434895066;34;4665331;7955;Virement;02/06/2023;552,09;552,09;0;Paiement affecté;68166500;-;;MISE EN SCENE                      ;plusieurs documents associées;SOLDE
SODELECT;380461855;47;4672914;1415;Virement;02/06/2023;2 772,34;2 772,34;0;Paiement affecté;68166499;-;;SODELECT SARL                      ;plusieurs documents associées;SOLDE
STUDIO ON;812801199;17;5097886;10437;Virement;02/06/2023;71,63;71,63;0;Paiement affecté;68166516;-;;SARL STUDIO ON                     ;202303630;Facture
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;02/06/2023;5 082,46;5 082,46;0;Paiement affecté;68166498;-;;SARL OBJECTIF LU                   ;202301926;Facture
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;02/06/2023;133,26;133,26;0;Paiement affecté;68166510;-;;SARL OBJECTIF LU                   ;202302118;Facture
OBJECTIF LUMIERE;821619921;17;5232333;10396;Virement;02/06/2023;333,82;333,82;0;Paiement affecté;68166504;-;;SARL OBJECTIF LU                   ;202302017;Facture
BUCHON VINCENT;482375839;16;5246320;1761;Virement;02/06/2023;324,41;324,41;0;Paiement affecté;68166505;-;;SARL  BUCHON VINCENT               ;202302880;Facture
HENRI;702016452;22;5339496;778;Virement;02/06/2023;11 893,85;11 893,85;0;Paiement affecté;68166496;-;;ETS HENRI                          ;plusieurs documents associées;SOLDE
MEURICE S.P.A;345034904;10;5596457;789 MEURICE;Virement;02/06/2023;42 471,71;42 471,71;0;Paiement affecté;68166495;-;;MEURICE S P A                      ;plusieurs documents associées;SOLDE
LUCE VITA;788957835;36;5764068;8976;Virement;02/06/2023;468,86;468,86;0;Paiement affecté;68166501;-;;SARL LUCE VITA                     ;202302249;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;02/06/2023;214,51;214,51;0;Paiement affecté;68166508;-;;SARL LUCE VITA                     ;202302250;Facture
LUCE VITA;788957835;36;5764068;8976;Virement;02/06/2023;234,47;234,47;0;Paiement affecté;68166507;-;;SARL LUCE VITA                     ;202302280;Facture
LUX HOME LIGHTING;833459381;12;6599801;14161;Virement;02/06/2023;346,46;346,46;0;Paiement affecté;68166502;-;;LUX HOME LIGHTING                  ;202302502;Facture
SERRA LUMINAIRE CONTEMPORAIN;420106346;18;4640827;1386;Virement;01/06/2023;4 217,39;4 217,39;0;Paiement affecté;68154033;-;;SARL SERRA                         ;plusieurs documents associées;SOLDE
TAT ELECTRICITE;397607011;38;4672916;1443;Virement;01/06/2023;658,9;658,9;0;Paiement affecté;68154040;-;;SARL TAT ELECTRICITE               ;202302456;Facture
PRODHEV;508150042;36;4777587;7104;Virement;01/06/2023;1 241,65;1 241,65;0;Paiement affecté;68154038;-;;KONCEPT VYP 2018                   ;plusieurs documents associées;SOLDE
PRODHEV;508150042;36;4777587;7104;Virement;01/06/2023;97,55;97,55;0;Paiement affecté;68154051;-;;KONCEPT VYP 2018                   ;202302652;Facture
PURE INSPIRATION;412451965;13;5001567;10253;Virement;01/06/2023;8,39;8,39;0;Paiement affecté;68154053;-;;PURE INSPIRATION                   ;202302207;Facture
OMNILUM;534132444;17;5567723;5464;Virement;01/06/2023;537,85;537,85;0;Paiement affecté;68154043;-;;SARL OMNILUM                       ;plusieurs documents associées;SOLDE
ECLAIRAGE LED DIFFUSION;822114336;16;5766629;12518;Virement;01/06/2023;286,49;286,49;0;Paiement affecté;68154047;-;;SAS   ECLAIRAGE LED DIFFUSION      ;202302722;Facture
POUGET;801933276;17;6551580;C8778;Virement;01/06/2023;8 535,48;8 535,48;0;Paiement affecté;68154031;-;;EURL  POUGET                       ;202302776;Facture
ROGER DUBOIS SAS;552078636;40;4702812;1274;Virement;31/05/2023;1 406,95;1 406,95;0;Paiement affecté;68141568;-;;ROGER DUBOIS SARL                  ;202301894;Facture
SASIH;417782190;33;5183621;8055;Eclatement de cash crédit;31/05/2023;858,33;858,33;0;Paiement affecté;68141566;-;;                                   ;plusieurs documents associées;SOLDE
CLAUDE MERMIN ELECTRICITE;320917107;56;6309680;1047;Virement;31/05/2023;107,93;107,93;0;Paiement affecté;68141569;-;;SOCIETE CLAUDE MERMIN ELECTRICITE G;202302737;Facture
MAWA;499761567;35;6946719;c15096;Eclatement de cash crédit;31/05/2023;2 391,72;2 391,72;0;Paiement affecté;68141566;-;;                                   ;202302432;Facture
MAWA;499761567;35;6946719;c15096;Eclatement de cash crédit;31/05/2023;6 204,41;6 204,41;0;Paiement affecté;68141566;-;;                                   ;202302844;Facture
ABELEC DISTRIBUTION;520196197;21;6946720;C15441;Eclatement de cash crédit;31/05/2023;321,42;321,42;0;Paiement affecté;68141566;-;;                                   ;202301857;Facture
APOGE E;500131636;44;7112817;7435;Eclatement de cash crédit;31/05/2023;321,91;321,91;0;Paiement affecté;68141566;-;;                                   ;plusieurs documents associées;SOLDE
BALAS;562077792;82;7143469;7616;Eclatement de cash crédit;31/05/2023;10,61;10,61;0;Paiement affecté;68141566;-;;                                   ;202301852;Facture
BALANCE MELJAC;999018989;78569;7777777;;Virement;31/05/2023;10 108,40;10 108,40;0;Paiement affecté;68141566;-;;MELJAC                             ;plusieurs documents associées;SOLDE
H T E HAUTE TECHNOLOGIE ELECTRIQUE;449654441;12;4640875;8606;Virement;30/05/2023;161,65;161,65;0;Paiement affecté;68127521;-;;H T E   HAUTE TECHNOLOGIE ELECTRIQU;202301698;Facture
SODELECT;380461855;47;4672914;1415;Virement;30/05/2023;1 307,16;1 307,16;0;Paiement affecté;68127515;-;;SODELECT SARL                      ;202302197;Facture
SODELECT;380461855;47;4672914;1415;Virement;30/05/2023;207,17;207,17;0;Paiement affecté;68127519;-;;SODELECT SARL                      ;202302204;Facture
JP LEBRUN;378155824;55;4672955;913;Virement;30/05/2023;403,18;403,18;0;Paiement affecté;68127518;-;;ETS LEBRUN ELECTRICITE             ;plusieurs documents associées;SOLDE
PROLUM CHAMPAGNE ARDENNES;501624613;29;4718356;8673;Virement;30/05/2023;110,16;110,16;0;Paiement affecté;68127522;-;;PROLUM CHAMPAGNE ARDENNES          ;202301449;Facture
